FID,ID,SITE_NAME,DATE, pH continuous 0475 (pH units),Conductivity 25C continuous 0473 (uS/cm),Oxygen,Temperature,Battery (vol)
29033,S1,Swale at Catterick Bridge,07/07/1995 09:00,8.44,427,90.2,16.4,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 09:30,8.48,426,93.8,16.5,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 10:00,8.55,424,97.1,16.6,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 10:30,8.57,423,102.4,16.8,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 11:00,8.62,423,105.4,16.9,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 11:30,8.65,423,107.4,17,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 12:00,8.67,422,108.3,17,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 12:30,8.7,423,109.5,17.1,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 13:00,8.71,424,109.5,17.1,12.8
29033,S1,Swale at Catterick Bridge,07/07/1995 13:30,8.75,426,110.6,17.2,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 14:00,8.78,427,111.4,17.3,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 14:30,8.8,426,113.6,17.5,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 15:00,8.82,428,116.6,17.8,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 15:30,8.86,427,118.2,18,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 16:00,8.9,425,120.9,18.2,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 16:30,8.92,424,122.1,18.5,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 17:00,8.96,423,124.2,18.8,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 17:30,8.98,421,124.9,19,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 18:00,9,420,123.2,19.1,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 18:30,9,418,119.3,19.2,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 19:00,8.99,417,115.5,19.2,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 19:30,8.98,416,110.5,19.1,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 20:00,8.97,416,106.9,19,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 20:30,8.95,417,102.6,18.9,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 21:00,8.93,417,98.4,18.8,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 21:30,8.89,419,94.6,18.6,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 22:00,8.86,421,91.1,18.5,12.7
